,Type_of_cement,Brand,Additives,Type_of_aggregates,Design_F'c (Mpa),Curing_age_(days),Cs_(Mpa),Ts_(Mpa),Fs_(Mpa),Er_(ohm-cm),UPV_(m/s)
0,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.2154,0.5609,,5.8654,2440.2989
1,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1528,0.5727,,5.9471,2417.9562
2,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6877,0.5826,,5.9965,2429.9277
3,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1476,0.591,,5.8751,2435.0202
4,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.3406,0.5698,,5.8654,2408.7969
5,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.7079,0.5692,,5.9198,2408.8415
6,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.5836,0.5553,,5.8228,2408.0798
7,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.3993,0.5619,,5.9035,2419.3565
8,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1173,0.5611,,5.9039,2428.6068
9,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1122,0.5877,,5.8182,2435.9962
10,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6666,0.5807,,5.9372,2419.8088
11,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1083,0.5888,,5.9443,2424.3852
12,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1175,0.5594,,5.8278,2415.8847
13,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.4415,0.5683,,5.8306,2420.1791
14,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.2253,0.5592,,5.8355,2434.5926
15,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6774,0.5824,,5.8824,2409.6097
16,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.4852,0.5922,,5.8032,2411.5735
17,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.146,0.5675,,5.9499,2407.9095
18,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.2308,0.5927,,5.8501,2421.8989
19,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.116,0.5577,,5.9383,2441.4744
20,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.4361,0.5352,,5.8021,2463.0983
21,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1071,0.5459,,5.8274,2616.921
22,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.5387,0.543,,5.8991,2576.4773
23,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.5838,0.5357,,5.8379,2546.8419
24,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.4483,0.5392,,5.8992,2541.0645
25,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.4902,0.5386,,5.8262,2557.27
26,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.4825,0.5408,,5.865,2519.9439
27,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.2963,0.5367,,5.8717,2588.1649
28,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.436,0.5391,,5.8717,2641.9496
29,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.179,0.5417,,5.8736,2546.9795
30,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.4628,0.5332,,5.811,2565.7394
31,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.105,0.5408,,5.8135,2504.8905
32,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.2351,0.5311,,5.8586,2581.0893
33,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1126,0.54,,5.8514,2633.3553
34,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1397,0.5381,,5.8635,2611.14
35,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.5251,0.5383,,5.8914,2444.4347
36,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.4569,0.5373,,5.8358,2577.8858
37,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.2564,0.5323,,5.8428,2455.1365
38,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.5924,0.5404,,5.8796,2530.0875
39,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1064,0.5312,,5.8297,2641.9479
40,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6462,0.5403,,5.9,2644.3607
41,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6426,0.5357,,5.9,2400.3977
42,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6666,0.5461,,5.9,2427.818
43,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6684,0.5496,,5.9,2655.9265
44,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6305,0.5449,,5.9,2496.1158
45,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6494,0.55,,5.9,2575.5535
46,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6466,0.5554,,5.9,2459.0831
47,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6591,0.5546,,5.9,2447.1127
48,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6631,0.538,,5.9,2430.1131
49,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6659,0.5558,,5.9,2536.6495
50,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.636,0.5358,,5.9,2444.032
51,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6612,0.5372,,5.9,2464.287
52,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6597,0.5454,,5.9,2653.5863
53,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6289,0.5343,,5.9,2621.7677
54,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6262,0.5369,,5.9,2379.0818
55,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6499,0.5377,,5.9,2606.5637
56,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6787,0.5393,,5.9,2618.7186
57,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.64,0.5343,,5.9,2485.5645
58,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6553,0.5351,,5.9,2519.3887
59,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.6328,0.5381,,5.9,2430.3067
60,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.2122,0.558,,5.8243,2620.4927
61,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.522,0.558,,5.8029,2723.9401
62,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.3654,0.558,,5.8313,2495.2729
63,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.2448,0.558,,5.8402,2545.7667
64,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.125,0.558,,5.8527,2618.8615
65,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.0823,0.558,,5.8875,2692.8944
66,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.3396,0.558,,5.8527,2738.1482
67,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.5947,0.558,,5.8315,2503.4245
68,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.588,0.558,,5.8581,2466.499
69,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.5205,0.558,,5.8649,2401.6052
70,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1564,0.558,,5.8796,2483.2778
71,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.5225,0.558,,5.8805,2621.6603
72,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1729,0.558,,5.8792,2583.36
73,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.5292,0.558,,5.8881,2451.2197
74,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.1011,0.558,,5.8371,2609.1285
75,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.4627,0.558,,5.8037,2434.7498
76,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.5585,0.558,,5.8026,2345.9812
77,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.5245,0.558,,5.8116,2418.7116
78,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.2966,0.558,,5.8259,2580.2089
79,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,3,5.3857,0.558,,5.8241,2434.3373
80,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.325,1.4634,0.3524,3.6089,2949.9016
81,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.7155,1.4661,0.3462,3.7363,2949.498
82,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.4844,1.4613,0.3435,3.7237,2949.9606
83,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.7376,1.4649,0.3367,3.5816,2949.8057
84,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.2578,1.4586,0.3432,3.7221,2949.6509
85,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.3132,1.458,0.346,3.6082,2947.8722
86,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.5775,1.4628,0.3506,3.608,2949.0707
87,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.5995,1.4547,0.3415,3.6969,2949.5432
88,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.005,1.4583,0.3562,3.5889,2950.1113
89,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.2005,1.4656,0.3572,3.7599,2948.5416
90,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.4737,1.4594,0.3583,3.7933,2949.6991
91,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.6584,1.4606,0.3493,3.6097,2949.8208
92,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.3889,1.4587,0.343,3.7192,2949.6518
93,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.1313,1.467,0.3544,3.7675,2949.2386
94,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.1744,1.4601,0.348,3.6714,2948.6132
95,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.371,1.4664,0.3506,3.7482,2947.818
96,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.1203,1.4553,0.3524,3.6504,2948.593
97,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.2493,1.4582,0.3377,3.7033,2947.8253
98,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.1182,1.4591,0.353,3.7029,2950.5392
99,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.811,1.465,0.3429,3.6376,2950.2992
100,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.792,1.4754,0.3614,3.6819,2986.3811
101,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.1935,1.4792,0.362,3.6492,2994.9156
102,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.4755,1.4756,0.3617,3.6125,2989.5055
103,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.3654,1.4965,0.3615,3.6583,2959.5872
104,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.5682,1.475,0.3608,3.5991,2975.4119
105,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.3741,1.5017,0.3641,3.611,2978.9423
106,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.0779,1.5134,0.3617,3.593,2996.0709
107,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.6662,1.5019,0.3615,3.5962,2995.7856
108,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,16.4186,1.5011,0.3635,3.6744,2957.9305
109,CPO 30R RS BRA,CEMEX,Opuntia_ficus_indica,Rounded,25,7,17.5381,1.4885,0.3603,3.5941,2962.4503
